100na,100int,200na,NEC,M10na,M10int,K85,LABEL,Description
17DB,,1912,,,,,CLOSEMDM,close MDM
17E6,,191D,,17F0,17C8,17C8,SET232,com on
181C,,,,,,17FA,,
182D,,,,,,180B,,
184E,,,,,,182C,,
18C7,,1A36,,,,,FINDEOF,
190F,,,,1919,18D7,,TIME,read system time
192F,,,,1939,18F7,,DATE,read system date
1962,,,,196C,192C,,DAY,read system day
19AB,,,,,,1975,TIME$,
19BD,,,,,,1987,DATE$,
19F1,,,,,,19BD,DAY$,
1A78,,,,,,1A44,IPL,
1A9E,,,,,,1A6A,COM/MDM,
1BB1,,2697,,,,1B7A,,renew auto power off counter
1BB8,,,,,,1B81,KEY,
1C57,,,,,,1C20,PSET,
1C66,,,,,,1C2F,PRESET,
1D90,,,,,,,CSRLIN,
1DC3,,,,,,1D86,WIDTH,
1DC5,,,,,,1D8E,SOUND,
1DE5,,,,,,1DAE,SNDOFF,
1DEC,,,,,,1DB5,MOTOR,
1DFA,,,,,,1DC3,CALL,
1E22,,,,,,1DEB,SCREEN,
1E5E,,,,1E6A,1E29,1E29,LCOPY,
1E7B,,,,,,1E46,RUN5,
1F3A,,2A2A,,,,1F07,FILES,
1F91,,,,,,1F63,KILL,
1FBE,,,,1FD0,,1F8F,,"This addr only listed to call out DO NOT USE – Some old docs call this KILASC but this nops the initial PUSH H, while there is still a POP H at the end."
1FBF,,2AB5,,1FD1,,1F90,KILASC,delete a .DO file
1FD9,,2ACE,,,,1FAA,KILCOM,delete a .CO file
2017,,2B0C,,,,1FE8,KILBAS,delete a .BA file
2037,,,,,,2008,NAME,
20A9,,,,,,207A,ROM7,
20AF,,2BCC,,20C1,,2080,FINDFN,
20CC,,2BE9,,,,209D,,almost the end of FINDFN
20D5,,2BF2,,,,,,Find next Non-Empty catalog entry
20E4,,2C01,,20F6,,20B5,SCNEMP,scan for an empty directory entry
20EC,,2C09,,,,20BD,SCNEMP2,"scan for an empty directory entry, alt entry"
20FE,,,,,,20CF,NEW,
20FF,,,,,,20D0,NEW2,
2134,,,,,,2104,,
213E,,2C5A,,,,210E,UPDOFILES,update DOFILES with BC
2146,,2C62,,2157,,2116,RESETFPS,reset file pointers
--,,,,215A,,2119,RESETFPS2,The 100’s 2146 is really the equivalent of here
218D,,2CC0,,,,,,Clear LSB of File Type byte for all Catalog entries
2190,,2CC3,,,,2168,,Find next catalog entry
219A,,2CCD,,21B3,,2172,AFTEREOF,"advance HL past end of file, auto type"
219D,,2CD0,,21B6,,2175,AFTEREOF2,"advance HL past end of file, type A"
21A4,,2CD7,,,,217C,AFTERCO,advance HL past end of CO file
21AE,,2CE1,,,,2186,AFTERDO,advance HL past end of DO file
21C2,,2CF5,,,,219A,AFTERBA,advance HL past end of BA file (updates line addrs first)
21FA,,,,2213,,,LENSTR,"Count number of characters in NUL terminated string, max 255"
220F,,,,2228,21E7,,MAKTXT,Create a text (.DO) file
2239,,2DAC,,2252,,2211,MKDIRENT,insert entry into directory
2280,,,,,,2258,CSAVE,
2377,,,,,,234F,CLOAD,
2387,,,,,,235F,,
2491,,,,,,2469,,
273A,,,,,,2713,STR$,"Function, CALL FAC1ASCII"
275D,,,,,,2736,,
276E,,,,,,2747,,
27B0,,,,,,2789,"P-1TILL""",
27B1,,,,27CB,,2790,"PTILL""",
27CA,,,,,,27A3,,
27E4,,,,,,27BD,,
27F4,,,,,,27CD,,
278D,,,,,,2766,,
2802,,,,,,27DB,,
281D,,,,,,27F6,,
2833,,,,,,280C,,
283A,,,,,,2813,,
285B,,,,,,2834,,
285C,,,,,,2835,,
287B,,,,,,2854,,
2887,,,,,,2806,,
2888,,,,,,2861,,
28A8,,,,,,2881,,
2904,,,,,,28DD,,
290D,,,,,,28E6,,
2916,,,,,,28EF,,
291C,,,,,,28F5,,
291D,,,,,,28F6,,
2933,,,,,,290C,,
2935,,,,,,290E,,
2943,,,,,,291C,LEN,
2947,,,,,,2920,,
294F,,,,,,2928,ASC,
2953,,,,,,292C,,
295F,,,,,,2938,CHR$,
296D,,,,,,2946,STRING$,
2987,,,,,,2960,,
298A,,,,,,2963,,
2993,,,,,,296C,,
298E,,,,,,2967,SPACE$,
2AB5,,2459,,,,2A8E,INR_A_RET,INR A; RET; middle of INSTR
3450,,,,,,3429,,Reverse load single precision at M to DEBC
3469,,41BA,,3483,,3442,D2H4Bup,"move the memory pointed to by DE to the memory pointed to by HL, lo to hi"
3472,,,,348C,,,D2H4Bdn,"move the memory pointed to by DE to the memory pointed to by HL, hi to lo"
34C2,,,,34DC,,,SCOMP,signed int compare
35BA,,,,,,3593,DSKI$,
35D9,,,,,,35B2,,
3725,,,,,,36FE,MPYINT,mpy signd int
39D4,,470B,,39EE,,39AD,PRTINT,prt 16 bit int
39E8,,,,,,39C1,FAC1ASCII,
3EF3,,,,,,3ECF,,
3F28,,,,,,3F04,,
3F2C,,,,,,3F08,,
407F,,,,,,405B,RESTORE,
409A,,,,,,4076,STOP,
409F,,,,,,407B,END,
40DA,,,,,,40B6,CONT,
40F1,,,,410E,,,CHKMUC,Check if [HL] points to U/C character
40F2,,,,410F,,,CHKAUC,Check if [A] contains U/C character
40F9,,,,,,40D5,CLEAR,
4174,,,,,,4150,NEXT,
421A,,,,,,41F6,,
4222,,,,423F,41FE,41FE,CRLF,prt crlf
4229,,4F45,,,,4205,BEEP,BEEP statement: ascii BEL → RST 4
422D,,,,424A,4209,,HOME,
4231,,,,424E,420D,420D,CLS,clear screen
4235,,,,4252,4211,,SETSYS,
423A,,,,4257,4216,,RSTSYS,
423F,,,,425C,421B,421B,LOCK,scroll lock
4244,,,,4261,4220,,UNLOCK,
4249,,,,4266,4225,,CURSON,
424E,,,,426B,422A,,CUROFF,
4253,,,,4270,422F,,DELLIN,
4258,,,,4275,4234,,INSLIN,
425D,,,,427A,4239,4239,ERAEOL,erase to eol
4269,,,,4286,4245,,ENTREV,
426E,,,,428B,424A,,EXTREV,
4270,,,,428D,424C,,ESCA,
427C,,,,4299,4258,4258,SETCUR,set curs position
428A,,,,42A7,4266,,ERAFNK,Erase function key display
42A5,,,,42C2,4281,,STDSPF,Set & Display function keys
42A8,,,,42C5,4284,,DSPFNK,Display function keys
431F,,503C,,,,42F9,,
433B,,,,,,4310,,
43A2,,,,,,4382,,
4469,,,,,,4449,ESC+A,
446E,,519D,,,,444E,ESC+B,
4512,,,,,,44DC,,
4566,,,,,,4523,,
4586,,,,,,4543,,
459A,,,,,,4557,,
45A6,,,,,,4562,,
45AA,,,,,,4566,,
45C5,,,,,,4581,,
45CB,,,,,,,,
45D2,,,,,,,,
45D3,,,,,,4587,,
45E2,,,,,,4596,,
45ED,,,,,,45A1,,
4601,,,,,,45B5,,redraw screen from lcd ram
4606,,,,,,45BA,,
4608,,,,,,45BC,,
4624,,,,,,45D8,,
4626,,,,,,45DA,,
463E,,,,4633,,45F2,INLIN?,INLIN with ?
4644,,54F6,,4639,45F8,45F8,INLIN,get kbd line without ?
4703,,,,,,46BA,,
478B,,,,,,4741,DIM,
4790,,,,,,,VARPTR,
4991,,,,,,,USING,
4B44,,5A05,,4B53,4B12,,PRTA,RST 4 – print A to LCD or LPT
4B55,,5A14,,4B64,4B23,,PRTTAB,"Print A to printer, expanding tabs if necessary"
4B92,,,,,,,INITLCD,
4BAB,,,,,,,CHRLCD,print A to LCD
4BB8,,,,,,,NLLCD,send crlf to lcd if not CSRY 0
4BEA,,,,,,,INKEY$,Function
4C0B,,5ACA,,4C1A,,4BC1,CKFN,evaluate & reformat filename
4C0F,,5ACE,,4C1E,,4BC5,CKFN2,evaluate arguments to RUN/OPEN/SAVE commands
4C21,,,,,,4BD7,,
4CBF,,,,,,4C75,,
4CCB,,,,,,4C81,OPEN,
4D12,,,,,,4CC8,,
4D59,,5C18,,,,4D0F,,close lcd/crt/lpt
4D6E,,,,,,4D24,RUN3,
4D70,,,,,,4D26,LOAD,
4D71,,,,,,4D27,MERGE,
4D9F,,,,,,4D55,,
4DCF,,,,,,4D85,SAVE,
4E1D,,,,,,4DD3,,
4E22,,,,,,4DD8,ROM12,
4E28,,,,,,4DDE,CLOSE,
4E8A,,5D46,,,,,POPDHB,
4F0A,,,,4F12,,,NULFILL,fill memory with nul
4F0B,,,,4F13,,,CHRFILL,fill memory with A
5023,,,,,,4FD2,,
5036,,,,,,4FE5,,
504E,,5F05,,,,4FFD,NMERR,generate NM err
506F,,,,,,501E,LFILES,
5071,,,,,,5020,DSKO$,
507F,,,,,,502E,USING,
