100na,100int,200na,NEC,M10na,M10int,K85,LABEL,Description
7383,,,,,,7031,,
73C5,,,,,,7073,,
73EE,,,,,,709C,,
743C,,,,747F,,70EA,,
7440,,,,7483,,,,
744C,,,,748F,7166,,PLOT,
744D,,,,7490,7167,,UNPLOT,
752B,,,,,,71D9,,Set the display top line to zero for all LCD drivers
7533,,,,,,71E1,ENLCD,Enable LCD drivers after short delay
7657,,,,,,7305,PAUSE_C,Delay routine - decrement C until zero
765C,,8FA0,,769F,,730A,INT1D,set int to 0x1D - disable background task & barcode interrupts
7662,,8FA6,,,,7310,BEEP2,
7676,,8FC9,,,,7324,CLICK,click sound port
767D,,,,,,732B,TESTDVIW,
7682,,,,,,7330,TESTDVIR,
768F,,,,,,733D,DVIEXT,
7693,,,,,,7341,INITDVI,
76A0,,,,,,734E,QUERYDVI,
76B6,,,,,,7364,BOOTDVI,Copy initialization code from DVI to E000h and execute
76DE,,,,,,738C,DVISCMD,send A to dvi control mailbox
76FB,,,,,,73A9,DVIREAD,
770B,,,,,,73B9,,"DVI command table (6 bytes: 02,01,00,00,01,00)"
7711,,,,,,738F,GLYPHS_LO,GLYPHSLO LCD char generator shape table (20H-7FH)
7719,,,,,,,GLYPH_21,
78E1,,,,,,,GLYPH_7E,
78E9,,,,,,7567,GLYPH_7F,
78F1,,,,,,756F,GLYPHS_HI,GLYPHSHI LCD char generator shape table (80H-FFH)
78F9,,,,,,,GLYPH_81,
7901,,,,,,,GLYPH_82,
7BE1,,,,,,,GLYPH_FE,
7BE9,,,,,,7867,GLYPH_FF,
7BF1,,,,,,,,
7EC6,,,,,,,RESHOK,Reset hooks
7EAC,,,,,,7B5C,FREMEM,free bytes
7F0B,,,,,,7BBB,MAX,
7F98,,,,,,7C48,FREMSG,'bytes free'
7FD6,,,,7F1D,,7C86,RST7VD,RST 7 (0x0038) RAM vector driver routine
7FF9,,,,,,7CCC,MAXROM,
E000,,,,,,E000,DVICODE,Location of init code to be copied from DVI
F3AF,,,,,,F3AF,,
F5F0,,EEB0,,F5F0,,F5F0,MAXRAM,MAXRAM itself
F5F4,,EEB4,F384,F5F4,,,ptrHIMEM,pointer to HIMEM
F5F9,,EEB9,F389,,,,INTRPT,"RST 5.5 hook, normally barcode reader"
F5FC,,EEBF,F38C,,,,R65HOK,"RST 6.5 hook, normally UART"
F5FF,,EEC2,F38F,,,,R75HOK,"RST 7.5 hook, normally from timer"
F602,,EEC5,,F602,,F602,,
F624,,,F3B9,,,,BRUN,This executes second ROM
F625,,,F3BA,,,,BRUN2,This executes second ROM
F62A,,,F3BF,,,,ROMFLG,option rom flag
F62B,,EEF4,,,,,CALPPS,"dialing method 0=tone,1,14"
--,,EEF5,,,,,,Active bank (stored in bank 1)
F62C,,EEF8,,,,,FNKMAC,
F639,,EF06,F3E5,F63C,F640,F640,CSRY,Hor curs posit
F63A,,EF07,F3E6,F63D,F641,F641,CSRX,Ver curs posit
F63B,,EF08,F3E7,F63E,,,LINES,console height          (verify if M10 are typo / swapped)
F63C,,EF09,F3E8,F63D,,,COLS,console width
F63D,,EF0A,,F640,,,LBLFLG,"Label line flag. 0 = unused, 1 = used"
